Runde 25,So 19.03.23 - 16:30                                                ,BSC Young Boys,FC Basel 1893, Lukas Fähndrich, Stéphane De Almeida, Guillaume Maire, Nico Gianforte,
Runde 24,So 12.03.23 - 16:30                                                ,Grasshopper Club Zürich,FC Winterthur, Sven Wolfensberger, Jan Köbeli, Didier Dubrit, Tobias Thies,
Runde 26,So 19.03.23 - 14:15                                                ,AC Bellinzona,Neuchâtel Xamax FCS, Maxime Odiet, Devis Dettamanti, Didier Dubrit, Alexander Tester,
Runde 25,So 12.03.23 - 16:30                                                ,Neuchâtel Xamax FCS,Yverdon Sport FC, David Schärli, Mirco Bürgi, Nicolas Tuberosa, Logan Berchier,
Runde 22,Fr 17.02.23 - 19:30                                                ,FC Schaffhausen,FC Aarau, Maxime Odiet, Susanne Küng, Valerio Weber, Alexander Tester,
Runde 22,Fr 17.02.23 - 19:30                                                ,Yverdon Sport FC,FC Vaduz, Hajrim Qovanaj, Alain Heiniger, Didiet Dubrit, Anojen Kanagasingam,
Runde 23,Sa 04.03.23 - 20:30                                                ,FC Luzern,FC Basel 1893, Luca Cibelli, Matthias Sbrissa, Bastien Lengacher, Maxime Odiet,
Runde 21,So 12.02.23 - 14:15                                                ,FC Vaduz,FC Thun Berner Oberland, Esther Staubli, Benjamin Zürcher, Daniel Von Känel, Logan Berchier,
Runde 23,Fr 24.02.23 - 20:15                                                ,FC Wil 1900,FC Lausanne-Sport, Anojen Kanagasingam, Leroy Hartmann, Daniel Von Känel, Hajrim Qovanaj,
Runde 25,So 19.03.23 - 16:30                                                ,FC Lugano,Servette FC, Mirel Turkes, Jonas Erni, Benjamin Zürcher, Alessandro Dudic,
Runde 21,Sa 18.02.23 - 20:30                                                ,BSC Young Boys,FC Lugano, Luca Cibelli, Vital Jobin, Matthias Sbrissa, Tobias Thies,
